Bujur,Lintang,Kepercayaan,Region,Provinsi,Kabupaten,Kecamatan,Satelit,Tanggal,Waktu,Radius,Type
107.5944,-7.0381,7,JAWA,JAWA BARAT,BANDUNG,ARJASARI,NOAA20,2021-12-26,12:56:09,1125,pixel
107.6231,-6.9803,8,JAWA,JAWA BARAT,BANDUNG,DAYEUH KOLOT,NOAA20,2021-12-26,12:56:09,1125,pixel
107.6130,-6.9741,8,JAWA,JAWA BARAT,BANDUNG,DAYEUH KOLOT,NOAA20,2021-12-26,12:56:09,1125,pixel
107.6174,-6.9648,8,JAWA,JAWA BARAT,BANDUNG,DAYEUH KOLOT,NOAA20,2021-12-26,12:56:09,1125,pixel
107.6164,-6.9660,8,JAWA,JAWA BARAT,BANDUNG,DAYEUH KOLOT,NOAA20,2021-12-26,12:56:09,1125,pixel
107.7463,-7.0481,8,JAWA,JAWA BARAT,BANDUNG,MAJALAYA,NOAA20,2021-12-26,12:56:09,1125,pixel
107.7508,-7.0474,8,JAWA,JAWA BARAT,BANDUNG,MAJALAYA,NOAA20,2021-12-26,12:56:09,1125,pixel
107.7418,-7.0487,8,JAWA,JAWA BARAT,BANDUNG,MAJALAYA,NOAA20,2021-12-26,12:56:09,1125,pixel
107.7437,-7.0507,8,JAWA,JAWA BARAT,BANDUNG,MAJALAYA,NOAA20,2021-12-26,12:56:09,1125,pixel
107.7492,-7.0575,8,JAWA,JAWA BARAT,BANDUNG,MAJALAYA,NOAA20,2021-12-26,12:56:09,1125,pixel
107.5973,-7.0262,7,JAWA,JAWA BARAT,BANDUNG,PAMEUNGPEUK,NOAA20,2021-12-26,12:56:09,1125,pixel
107.7421,-7.0090,8,JAWA,JAWA BARAT,BANDUNG,SOLOKAN JERUK,NOAA20,2021-12-26,12:56:09,1125,pixel
106.8552,-6.5125,8,JAWA,JAWA BARAT,BOGOR,BABAKANMADANG,NOAA20,2021-12-26,12:56:09,1125,pixel
110.8868,-7.5579,8,JAWA,JAWA TENGAH,KARANGANYAR,JATEN,NOAA20,2021-12-26,12:56:09,1125,pixel
110.8611,-6.7749,8,JAWA,JAWA TENGAH,KUDUS,BAE,NOAA20,2021-12-26,12:56:09,1125,pixel
109.1300,1.5060,8,KALIMANTAN,KALIMANTAN BARAT,SAMBAS,TANGARAN,NOAA20,2021-12-26,12:56:09,1125,pixel
110.7934,-0.0096,8,KALIMANTAN,KALIMANTAN BARAT,SEKADAU,SEKEDAUHILIR,NOAA20,2021-12-26,12:56:09,1125,pixel
112.1729,-0.4780,8,KALIMANTAN,KALIMANTAN BARAT,SINTANG,MENUKUNG,SNPP,2021-12-26,12:07:49,1125,pixel
115.5492,-1.1222,8,KALIMANTAN,KALIMANTAN TENGAH,BARITO UTARA,LAMPEONG,NOAA20,2021-12-26,12:56:09,1125,pixel
114.9928,-0.9665,8,KALIMANTAN,KALIMANTAN TENGAH,BARITO UTARA,TEWEH BARU,NOAA20,2021-12-26,12:56:09,1125,pixel
114.9933,-0.9643,8,KALIMANTAN,KALIMANTAN TENGAH,BARITO UTARA,TEWEH BARU,NOAA20,2021-12-26,12:56:09,1125,pixel
115.4307,-1.0158,8,KALIMANTAN,KALIMANTAN TENGAH,BARITO UTARA,TEWEH TIMUR,NOAA20,2021-12-26,12:56:09,1125,pixel
113.0904,-1.3001,8,KALIMANTAN,KALIMANTAN TENGAH,KATINGAN,SANAMAN MANTIKEI,NOAA20,2021-12-26,12:56:09,1125,pixel
111.7039,-2.0353,8,KALIMANTAN,KALIMANTAN TENGAH,LAMANDAU,MENTHOBI RAYA,NOAA20,2021-12-26,12:56:09,1125,pixel
111.9285,-1.0414,8,KALIMANTAN,KALIMANTAN TENGAH,SERUYAN,SERUYAN HULU,SNPP,2021-12-26,12:07:49,1125,pixel
111.9296,-1.0387,8,KALIMANTAN,KALIMANTAN TENGAH,SERUYAN,SERUYAN HULU,SNPP,2021-12-26,12:07:49,1125,pixel
111.9273,-1.0411,8,KALIMANTAN,KALIMANTAN TENGAH,SERUYAN,SERUYAN HULU,NOAA20,2021-12-26,12:56:09,1125,pixel
