BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
108.6916	-6.8362	8	JAWA	JAWA BARAT	KAB. CIREBON	PANGENAN	TERRA	2020-08-08	02:46:00		
110.9342	-7.6437	8	JAWA	JAWA TENGAH	KAB. SUKOHARJO	POLOKARTO	TERRA	2020-08-08	02:46:00		
111.8879	-7.3557	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	TEMAYANG	TERRA	2020-08-08	02:46:00		
114.0565	-8.1185	9	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TLOGOSARI	TERRA	2020-08-08	02:46:00		
114.0657	-8.1198	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TLOGOSARI	TERRA	2020-08-08	02:46:00		
113.9069	-7.9325	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	WONOSARI	AQUA	2020-08-08	05:40:00		
109.7717	1.1640	8	KALIMANTAN	KALIMANTAN BARAT	KAB. BENGKAYANG	SELUAS	TERRA	2020-08-08	02:46:00		
112.5827	0.5523	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KAPUAS HULU	BOYANTANJUNG	TERRA	2020-08-08	02:46:00		
113.1329	0.8187	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KAPUAS HULU	KEDAMIN	AQUA	2020-08-08	05:40:00		
110.7609	-1.2080	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SANDAI	AQUA	2020-08-08	05:40:00		
110.4867	-0.6068	9	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.4660	-0.6098	9	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.6040	-0.5498	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.4791	-0.5540	9	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.4957	-0.5550	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.4728	-0.5449	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.4875	-0.5024	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.4695	-0.5050	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SIMPANGHULU	AQUA	2020-08-08	05:40:00		
110.5845	-0.6579	9	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SUNGAI LAUR	AQUA	2020-08-08	05:40:00		
110.5641	-0.6608	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SUNGAI LAUR	AQUA	2020-08-08	05:40:00		
110.6295	-0.5861	8	KALIMANTAN	KALIMANTAN BARAT	KAB. KETAPANG	SUNGAI LAUR	AQUA	2020-08-08	05:40:00		
109.2508	0.6408	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MEMPAWAH HULU	AQUA	2020-08-08	05:40:00		
109.7510	0.6706	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MERANTI	AQUA	2020-08-08	05:40:00		
109.7285	0.6673	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MERANTI	AQUA	2020-08-08	05:40:00		
109.7594	0.7220	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MERANTI	AQUA	2020-08-08	05:40:00		
109.7575	0.7356	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MERANTI	AQUA	2020-08-08	05:40:00		
109.7350	0.7323	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MERANTI	AQUA	2020-08-08	05:40:00		
109.7555	0.7493	9	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	MERANTI	AQUA	2020-08-08	05:40:00		
109.9575	0.4548	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	NGABANG	AQUA	2020-08-08	05:40:00		
109.9512	0.4619	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	NGABANG	AQUA	2020-08-08	05:40:00		
110.0197	0.7748	8	KALIMANTAN	KALIMANTAN BARAT	KAB. LANDAK	SERIMBU	AQUA	2020-08-08	05:40:00		
109.2255	0.6371	8	KALIMANTAN	KALIMANTAN BARAT	KAB. PONTIANAK	SADANIANG	AQUA	2020-08-08	05:40:00		
110.4131	0.8188	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	TERRA	2020-08-08	02:46:00		
110.4944	0.7414	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.4747	0.7386	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.5230	0.7839	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.5387	0.8124	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.5174	0.8224	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.3976	0.8185	9	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.3777	0.8157	9	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
110.5512	0.8148	8	KALIMANTAN	KALIMANTAN BARAT	KAB. SANGGAU	BALAIKARANGAN	AQUA	2020-08-08	05:40:00		
