BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
106.4806	-6.1327	8	JAWA	BANTEN	TANGERANG	RAJEG	NOAA20	2020-12-09	01:24:05		
109.3197	-0.1095	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIKAKAP	NOAA20	2020-12-09	01:24:05		
109.3186	-0.1862	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIKAKAP	SNPP	2020-12-09	13:09:40		
109.3225	-0.1856	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIKAKAP	SNPP	2020-12-09	13:09:40		
109.3180	-0.1827	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIKAKAP	SNPP	2020-12-09	13:09:40		
109.3223	-0.1027	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIKAKAP	SNPP	2020-12-09	13:09:40		
109.3194	-0.1104	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIKAKAP	SNPP	2020-12-09	13:09:40		
109.8398	0.3924	8	KALIMANTAN	"KALIMANTAN BARAT"	LANDAK	NGABANG	SNPP	2020-12-09	13:09:40		
111.7218	-0.2789	8	KALIMANTAN	"KALIMANTAN BARAT"	MELAWI	"PINOH UTARA"	SNPP	2020-12-09	13:09:40		
115.5695	-2.0639	8	KALIMANTAN	"KALIMANTAN SELATAN"	TABALONG	HARUAI	SNPP	2020-12-09	00:30:02		
114.1024	-0.7536	8	KALIMANTAN	"KALIMANTAN TENGAH"	KAPUAS	"MANDAU TALAWANG"	NOAA20	2020-12-09	12:18:26		
113.9604	-0.7405	8	KALIMANTAN	"KALIMANTAN TENGAH"	KAPUAS	"MANDAU TALAWANG"	SNPP	2020-12-09	13:09:40		
114.1020	-0.7519	8	KALIMANTAN	"KALIMANTAN TENGAH"	KAPUAS	"MANDAU TALAWANG"	SNPP	2020-12-09	13:09:40		
113.1581	-1.5028	8	KALIMANTAN	"KALIMANTAN TENGAH"	KATINGAN	"KATINGAN TENGAH"	NOAA20	2020-12-09	12:18:26		
113.1553	-1.5043	8	KALIMANTAN	"KALIMANTAN TENGAH"	KATINGAN	"KATINGAN TENGAH"	NOAA20	2020-12-09	12:18:26		
112.8944	-1.3532	8	KALIMANTAN	"KALIMANTAN TENGAH"	KATINGAN	"KATINGAN TENGAH"	SNPP	2020-12-09	13:09:40		
116.9374	-0.6950	8	KALIMANTAN	"KALIMANTAN TIMUR"	"KUTAI KARTANEGARA"	LOAKULU	SNPP	2020-12-09	00:30:02		
116.7323	-0.0305	8	KALIMANTAN	"KALIMANTAN TIMUR"	"KUTAI KARTANEGARA"	MUARAKAMAN	NOAA20	2020-12-09	12:18:26		
116.9708	-0.0731	8	KALIMANTAN	"KALIMANTAN TIMUR"	"KUTAI KARTANEGARA"	MUARAKAMAN	SNPP	2020-12-09	13:09:40		
