BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
106.5511	-6.1461	8	JAWA	BANTEN	TANGERANG	"PASAR KEMIS"	SNPP	2021-02-25	01:09:04		
113.0335	0.8927	8	KALIMANTAN	"KALIMANTAN BARAT"	"KAPUAS HULU"	PUTUSIBAU	SNPP	2021-02-25	01:09:04		
109.4505	0.0100	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	"KUALA MANDOR B"	SNPP	2021-02-25	01:09:04		
109.3946	-0.4422	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	KUBU	SNPP	2021-02-25	01:09:04		
109.3908	-0.4416	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	KUBU	SNPP	2021-02-25	01:09:04		
109.3340	-0.2613	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3303	-0.2607	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3338	-0.2583	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3346	-0.2579	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3308	-0.2573	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3307	-0.2543	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3344	-0.2549	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3349	-0.2515	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3323	-0.2440	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3360	-0.2446	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3365	-0.2412	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3238	-0.2497	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
109.3275	-0.2503	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	RASAUJAYA	SNPP	2021-02-25	01:09:04		
