BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
110.4433	-7.5462	8	JAWA	DI YOGYAKARTA	SLEMAN	PAKEM	NOAA20	2021-04-17	01:04:10	1125	pixel		
107.0598	-6.1220	8	JAWA	JAWA BARAT	BEKASI	BABELAN	NOAA20	2021-04-17	01:04:10	1125	pixel		
107.0603	-6.1186	8	JAWA	JAWA BARAT	BEKASI	BABELAN	NOAA20	2021-04-17	01:04:10	1125	pixel		
107.3251	-6.2182	8	JAWA	JAWA BARAT	KARAWANG	RENGASDENGKLOK	NOAA20	2021-04-17	01:04:10	1125	pixel		
109.0739	-7.4388	8	JAWA	JAWA TENGAH	BANYUMAS	AJIBARANG	NOAA20	2021-04-17	01:04:10	1125	pixel		
109.9549	-6.9748	8	JAWA	JAWA TENGAH	BATANG	BANYUPUTIH	NOAA20	2021-04-17	01:04:10	1125	pixel		
110.4461	-7.5413	8	JAWA	JAWA TENGAH	BOYOLALI	SELO	NOAA20	2021-04-17	01:04:10	1125	pixel		
110.2564	-7.0494	8	JAWA	JAWA TENGAH	KENDAL	SINGOROJO	NOAA20	2021-04-17	01:04:10	1125	pixel		
110.4434	-7.5426	8	JAWA	JAWA TENGAH	MAGELANG	DUKUN	NOAA20	2021-04-17	01:04:10	1125	pixel		
112.3931	-7.5749	8	JAWA	JAWA TIMUR	MOJOKERTO	TROWULAN	SNPP	2021-04-17	00:13:00	1125	pixel		
112.3907	-7.5755	8	JAWA	JAWA TIMUR	MOJOKERTO	TROWULAN	SNPP	2021-04-17	00:13:00	1125	pixel		
115.6301	-3.6232	8	KALIMANTAN	KALIMANTAN SELATAN	TANAHBUMBU	ANGSANA	SNPP	2021-04-17	00:13:00	1125	pixel		
115.6245	-3.4872	8	KALIMANTAN	KALIMANTAN SELATAN	TANAHBUMBU	KUSANHULU	SNPP	2021-04-17	00:13:00	1125	pixel		
115.2336	-2.9460	8	KALIMANTAN	KALIMANTAN SELATAN	TAPIN	LOKPAIKAT	SNPP	2021-04-17	00:13:00	1125	pixel		
115.2343	-2.9417	8	KALIMANTAN	KALIMANTAN SELATAN	TAPIN	LOKPAIKAT	SNPP	2021-04-17	00:13:00	1125	pixel		
