DD/MM/YYYY,TIME,ICAO,WIND,VISIBILITY,WEATHER
01/08/2020,00:00:00Z	,WIOO,13004KT,4000,BR
01/08/2020,00:30:00Z	,WIOO,15003KT,9999,FEW012
01/08/2020,01:00:00Z	,WIOO,16005KT,9999,FEW012
01/08/2020,01:30:00Z	,WIOO,16005KT,9999,FEW012
01/08/2020,02:00:00Z	,WIOO,16007KT,9999,FEW012
01/08/2020,02:30:00Z	,WIOO,15008KT,9999,FEW012
01/08/2020,03:00:00Z	,WIOO,16009KT,9999,FEW012
01/08/2020,03:30:00Z	,WIOO,16006KT,9999,FEW012
01/08/2020,04:00:00Z	,WIOO,16013KT,9999,FEW012
01/08/2020,04:30:00Z	,WIOO,17013KT,9999,SCT012
01/08/2020,05:00:00Z	,WIOO,17008KT,9999,BKN012
01/08/2020,05:30:00Z	,WIOO,16008KT,9999,BKN012
01/08/2020,06:00:00Z	,WIOO,14005KT,9999,BKN012
01/08/2020,06:28:00Z	,WIOO,15006KT,9999,BKN012
01/08/2020,07:00:00Z	,WIOO,16009KT,9999,BKN012
01/08/2020,07:30:00Z	,WIOO,16007KT,9999,SCT012
01/08/2020,07:58:00Z	,WIOO,13005KT,9999,SCT012
01/08/2020,08:30:00Z	,WIOO,16007KT,9999,SCT012
01/08/2020,09:00:00Z	,WIOO,15006KT,9999,SCT012
01/08/2020,09:25:00Z	,WIOO,17007KT,9999,SCT012
01/08/2020,10:00:00Z	,WIOO,20006KT,9999,SCT012
01/08/2020,10:26:00Z	,WIOO,19004KT,9999,SCT012
01/08/2020,10:58:00Z	,WIOO,19004KT,8000,SCT012
01/08/2020,11:30:00Z	,WIOO,18005KT,6000,SCT012
01/08/2020,12:00:00Z	,WIOO,18005KT,6000,SCT012
01/08/2020,12:30:00Z	,WIOO,21004KT,6000,SCT012
01/08/2020,13:00:00Z	,WIOO,16005KT,6000,SCT012
01/08/2020,13:30:00Z	,WIOO,18006KT,6000,SCT012
01/08/2020,14:00:00Z	,WIOO,18005KT,6000,SCT012
01/08/2020,14:30:00Z	,WIOO,17004KT,6000,SCT012
01/08/2020,15:00:00Z	,WIOO,16005KT,6000,SCT012
01/08/2020,15:30:00Z	,WIOO,16005KT,6000,SCT012
01/08/2020,16:00:00Z	,WIOO,18003KT,6000,SCT012
01/08/2020,16:30:00Z	,WIOO,17003KT,6000,SCT012
01/08/2020,17:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,17:30:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,18:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,18:30:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,19:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,19:30:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,20:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,20:30:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,21:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,21:30:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,22:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,22:30:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,23:00:00Z	,WIOO,00000KT,6000,SCT012
01/08/2020,23:23:00Z	,WIOO,00000KT,4000,BR
01/08/2020,23:55:00Z	,WIOO,00000KT,6000,FEW013
02/08/2020,00:26:00Z	,WIOO,18003KT,8000,FEW013
02/08/2020,00:55:00Z	,WIOO,15004KT,7000,SCT012
02/08/2020,01:26:00Z	,WIOO,15004KT,9999,SCT012
02/08/2020,01:54:00Z	,WIOO,16005KT,9999,SCT012
02/08/2020,02:29:00Z	,WIOO,18004KT,9999,SCT012
